,categories,city,days,description,description_2,email,end_time,end_time_0,end_time_1,end_time_2,end_time_3,end_time_4,end_time_5,end_time_6,fax,id,lat,lng,logo_id,marker_id,path,phone,postal_code,start_time,start_time_0,start_time_1,start_time_2,start_time_3,start_time_4,start_time_5,start_time_6,state,store_id,street,time_per_day,title,website
0,64,Bronx,,Althea Brooks,Sat: 6:30AM-7:30AM,,,,,,,,,,,134,40.811337,-73.921357,27,44,58ab4127e452b_pantry_logo2.png,718-292-9321 x110,10454,,,,,,,,,NY,,342 Willis Avenue,0,Abraham House Inc.,
1,64,Bronx,,Jackie Vazquez,Tue: 2:00PM-4:00PM,,,,,,,,,,,218,40.847807,-73.894625,27,44,58ab4127e452b_pantry_logo2.png,718-669-4826,10457,,,,,,,,,NY,,2009 Monterey Avenue,0,Abrigo Del Altisimo,
2,64,Bronx,,HAGAR BORTSIE-ANSAH,Sat: 9:00AM-11:00AM,,,,,,,,,,,550,40.827311,-73.908615,27,44,58ab4127e452b_pantry_logo2.png,347-449-5663,10469,,,,,,,,,NY,,3101 Eastchester Road,0,ABUNDANT GRACE FOR THE FORSAKEN FOOD PANTRY,
3,64,Bronx,,Jasper Rolle Jr,Tue: 12:30PM-2:00PM|-      -|Thu: 12:30PM-2:00PM,,,,,,,,,,,12,40.8135359,-73.922542,27,44,58ab4127e452b_pantry_logo2.png,718-292-8734,10454,,,,,,,,,NY,,2692 3rd Avenue,0,Abundant Life Tabernacle Inc,
4,64,Jamaica,,Robert Steptoe,Tue: 8:30AM-12:00PM|-      -|Thu: 8:30AM-12:00PM,,,,,,,,,,,111,40.704346,-73.797901,27,44,58ab4127e452b_pantry_logo2.png,718-896-2500,11432,,,,,,,,,NY,,161-21 Jamaica Avenue,0,ACQC,
5,64,Far Rockaway,,Marie Joseph,Mon: 1:00PM-3:00PM|-      -|Wed: 1:00PM-3:00PM|-      -|Fri: 1:00PM-3:00PM,,,,,,,,,,,204,40.6048529,-73.751294,27,44,58ab4127e452b_pantry_logo2.png,718-868-8645,11691,,,,,,,,,NY,,1139 Foam Place,0,ACQC,
6,64,Woodside,,Karen Perez,Tue: 10:00AM-12:00PM|-      -|Thu: 10:00AM-12:00PM,,,,,,,,,,,415,40.745061,-73.904262,27,44,58ab4127e452b_pantry_logo2.png,718-472-9400 x5722,11377,,,,,,,,,NY,,62-07 Woodside Avenue,0,ACQC,
7,64,Brooklyn,,Mrs. Victoria Bordoy,Thu: 12:00PM-2:00PM,,,,,,,,,,,282,40.7076399,-73.945008,27,44,58ab4127e452b_pantry_logo2.png,516-852-5934,11206,,,,,,,,,NY,,141 Manhattan Avenue,0,Act of Faith Ministries,
8,64,Brooklyn,,Vincent Fusco,Tue: 6:00PM-7:30PM|-      -|Thu: 11:00AM-12:00PM,,,,,,,,,,,420,40.576211,-73.988203,27,44,58ab4127e452b_pantry_logo2.png,718-415-1170,11224,,,,,,,,,NY,,2114 Mermaid Avenue,0,Acts Community Development Corp.,
9,65,Brooklyn,,Denise Robbins,Wed: 6:30PM-8:00PM|-      -|Fri: 6:30PM-8:00PM,,,,,,,,,,,677,40.576211,-73.988203,28,44,58ab42aa3f633_kitchen.png,718-415-1170,11224,,,,,,,,,NY,,2114 Mermaid Avenue,0,Acts Community Development Corporation,
10,64,Brooklyn,,Merianne Domingue,Sat: 10:00AM-12:00PM,,,,,,,,,,,480,40.623122,-73.937432,27,44,58ab4127e452b_pantry_logo2.png,347-779-7192,11210,,,,,,,,,NY,,1910 Flatbush Avenue,0,"Admirable Church, Inc.",
