"PROVIDER_NAME","PROVIDER_NUMBER","PROVIDER_STREET","PROVIDER_CITY","PROVIDER_COUNTY","PROVIDER_STATE","PROVIDER_ZIP_CODE","PROVIDER_ZIP_CODE_PLUS_4","PROGRAM_NAME","PROGRAM_NUMBER","PROGRAM_COUNTY","PROGRAM_STREET_ADDRESS","PROGRAM_CITY","PROGRAM_STATE","PROGRAM_ZIP_CODE","PROGRAM_ZIP_CODE_PLUS_4","PROGRAM_DIRECTOR","PROGRAM_DIRECTOR_EMAIL","PROGRAM_DIRECTOR_TELEPHONE","PROGRAM_DIRECTOR_PHONE_EXTENSION","PROGRAM_TYPE","SERVICE_TYPE","ADMISSION_PHONE","ADMISSION_PHONE_EXT","ADDITIONAL_LOCATION_NAME","ADDITIONAL_LOCATION_STREET","ADDITIONAL_LOCATION_CITY","ADDITIONAL_LOCATION_ZIP","ADDITIONAL_LOCATION_COUNTYNAME"
"820 River St., Inc.","35210","428 Duane Ave","Schenectady","Schenectady","NY","12304","","Eleanor R.Young Memorial Clinc OP","51423","Albany","134 Franklin St","Albany","NY","12202","1902","Ms. Jackie Foster CASAC","jackief@pyhit.org","5184658034","","Outpatient","Outpatient Clinic","5184658034","","","","","",""
"820 River St., Inc.","35210","428 Duane Ave","Schenectady","Schenectady","NY","12304","","Eleanor Young Residence SL 3","51903","Albany","9 St Joseph's Terrace","Albany","NY","12210","","Ms. Darcel Flaunteroy","darcel.flaunteroy@pyhit.org","5187950073","","Residential","Supportive Living","5184271730","","","","","",""
"Addictions Care Center of Albany, Inc.","35090","90 McCarty Ave","Albany","Albany","NY","12202","1151","Addictions Care Center of Albany OP","50113","Albany","1044 Broadway","Menands","NY","12204","2585","Ms. Erica Beaudet CASAC","ebeaudet@theacca.net","5184342367","126","Outpatient","Outpatient Clinic","5184342367","","","","","",""
"Addictions Care Center of Albany, Inc.","35090","90 McCarty Ave","Albany","Albany","NY","12202","1151","Albany Citizens Council SL","51256","Albany","90 McCarty Ave","Albany","NY","12202","1151","Mr. Frederick Sumner","fsumner@theacca.net","5184348083","","Residential","Supportive Living","5184348083","21","","","","",""
"Addictions Care Center of Albany, Inc.","35090","90 McCarty Ave","Albany","Albany","NY","12202","1151","McCarty Avenue CR","50114","Albany","90 McCarty Ave","Albany","NY","12202","1151","Mr. Frederick Sumner","fsumner@theacca.net","5184348083","","Residential","Community Residential","5184348083","21","","","","",""
"Addictions Care Center of Albany, Inc.","35090","90 McCarty Ave","Albany","Albany","NY","12202","1151","T.R.E.E. House for Women/Children SRh","53212","Albany","90 McCarty Ave","Albany","NY","12202","","Mr. Keith Stack","kstack@theacca.net","5184655470","","Residential","820 Stabil and Rehab","","","","","","",""
"Albany County Dept. of Mental Health","70520","260 South Pearl Street","Albany","Albany","NY","12202","2094","Albany County Alc and SA Clinic OP","1865","Albany","260 S Pearl St","Albany","NY","12202","1809","Mr. Richard Moffitt CSW-R","Richard.Moffitt@albanycounty.com","5184474551","4530","Outpatient","Outpatient Clinic","5184474551","","","","","",""
"Equinox, Inc.","14510","500 Central Ave","Albany","Albany","NY","12206","","Counseling Center OP","52689","Albany","500 Central Ave","Albany","NY","12206","2213","Mrs. Joanna Terrelonge","jterrelonge@equinoxinc.org","5184359931","5229","Outpatient","Outpatient Clinic","","","","","","",""
"Hope House, Inc.","35300","573 Livingston Ave","Albany","Albany","NY","12206","2408","Hope House Hubbard Center #1 RRSY","5001","Albany","573 Livingston Ave","Albany","NY","12206","2408","Leticia Lind","llind@hopehouseinc.org","5184520001","204","Residential","Residential Rehab for Youth","5184520001","404","","","","",""
"Hope House, Inc.","35300","573 Livingston Ave","Albany","Albany","NY","12206","2408","Hope House Next Step IR","53380","Albany","2 Holland Ave","Albany","NY","12209","","Kim Green","kimg@thenextstepalbany.org","5184655249","","Residential","Intensive Residential","","","","","","",""
"Hope House, Inc.","35300","573 Livingston Ave","Albany","Albany","NY","12206","2408","Hope House Next Step SL","53379","Albany","2 Holland Ave","Albany","NY","12209","","Darren Conoby","dconboy@hopehouseinc.org","5184278207","","Residential","Supportive Living","","","","","","",""
"Hope House, Inc.","35300","573 Livingston Ave","Albany","Albany","NY","12206","2408","Hope House Women/Children's Prog CR","51834","Albany","890 Madison Ave","Albany","NY","12208","3322","Star Petersen","spetersen@hopehouseinc.org","5184538351","","Residential","Community Residential","5184538351","","","","","",""
"Hope House, Inc.","35300","573 Livingston Ave","Albany","Albany","NY","12206","2408","Hope House, Inc. IR","465","Albany","261 N Pearl St","Albany","NY","12207","1201","Erin Loffredo","eloffredo@hopehouseinc.org","5184652441","","Residential","Intensive Residential","5184652441","","","","","",""
"Hope House, Inc.","35300","573 Livingston Ave","Albany","Albany","NY","12206","2408","Hope House, Inc. OP 1","51291","Albany","747 Madison Ave","Albany","NY","12208","","Ms. Cynthia Cole","cynthia@hopehouseinc.org","5184278207","","Outpatient","Outpatient Clinic","","","Hope House, Inc.","160 North Main Avenue","Albany","12206","Albany"
"Hospitality House T.C., Inc","170","271 Central Ave","Albany","Albany","NY","12206","","Hospitality House  IR","692","Albany","271 Central Ave","Albany","NY","12206","2611","Ms. Paula Carciu","paulac@hospitalityhouse.info","5184346468","118","Residential","Intensive Residential","5184346468","107","","","","",""
"LaSalle School, Inc.","12400","391 Western Ave","Albany","Albany","NY","12203","1491","La Salle School OP","5469","Albany","391 Western Ave","Albany","NY","12203","1401","Dina McManus","dmcmanus@lasalle-school.org","5182424731","228","Outpatient","Outpatient Clinic","5182424731","228","","","","",""
"Pearl Street Counseling Center","651","109 State St","Albany","Albany","NY","12207","1642","Pearl St Counseling Center OP","1694","Albany","109 State St","Albany","NY","12207","1642","Mr. Guy Kuperman","kupermanguy@hotmail.com","5184624320","","Outpatient","Outpatient Clinic","5184624320","","","","","",""
"PROMESA, Inc.","166","1776 Clay Ave","Bronx","Bronx","NY","10457","7239","Camino Nuevo OTP","52785","Albany","175 Central Ave","Albany","NY","12206","2938","Mrs. Elizabeth Smith CASAC","esmith@hubwny.org","7167684040","",Opioid Treatment Program,"Opioid Outpatient Treatment","","","","","","",""
"PROMESA, Inc.","166","1776 Clay Ave","Bronx","Bronx","NY","10457","7239","PROMESA, Inc. OP 3","52747","Albany","175 Central Ave","Albany","NY","12206","","Mrs. Elizabeth Smith CASAC","esmith@hubwny.org","7167684040","","Outpatient","Outpatient Clinic","","","","","","",""
"Senior Hope Counseling, Inc.","45240","650 Warren St","Albany","Albany","NY","12208","2998","Senior Hope Counseling, Inc. OP","52134","Albany","650 Warren St","Albany","NY","12208","2998","Dr. Nicole MacFarland LCSW","N.MacFarland@Seniorhope.org","5184897777","","Outpatient","Outpatient Clinic","5184897777","","","","","",""
"St. Peter's Hospital City of Albany","83060","3 Mercycare Ln","Guilderland","Albany","NY","12084","3504","SPARC Halfway House CR","50234","Albany","64 2nd Ave","Albany","NY","12202","","Mr. Stephen M Lape","stephen.lape@sphp.com","5184495170","","Residential","Community Residential","5184495170","","","","","",""
"St. Peter's Hospital City of Albany","83060","3 Mercycare Ln","Guilderland","Albany","NY","12084","3504","SPARC Inpatient RehabilitationProgram","51039","Albany","3 Mercycare Ln","Guilderland","NY","12084","3504","Mr. James Jeffreys","James.Jeffreys@sphp.com","5184526745","","Inpatient","Inpatient Rehabilitation","5184526757","","","","","",""
"St. Peter's Hospital City of Albany","83060","3 Mercycare Ln","Guilderland","Albany","NY","12084","3504","SPARC OP","50230","Albany","55 Mohawk St","Cohoes","NY","12047","","Ms. Jennifer Mansky","Jennifer.Mansky@sphp.com","5182351100","2","Outpatient","Outpatient Clinic","5182351100","","","","","",""
"St. Peter's Hospital City of Albany","83060","3 Mercycare Ln","Guilderland","Albany","NY","12084","3504","SPARC OP","50232","Albany","845 Central Ave","Albany","NY","12206","1517","Ms. Megan C Duncan CASAC","Megan.Duncan@sphp.com","5184822455","14","Outpatient","Outpatient Clinic","5184822455","14","","","","",""
"St. Peter's Hospital City of Albany","83060","3 Mercycare Ln","Guilderland","Albany","NY","12084","3504","SPARC OP 1","50927","Albany","636 New Loudon Rd","Latham","NY","12110","","Ms. Robyn Tompkins","Robyn.Tompkins@sphp.com","5187835381","","Outpatient","Outpatient Clinic","5187835381","","","","","",""
"St. Peter's Hospital City of Albany","83060","3 Mercycare Ln","Guilderland","Albany","NY","12084","3504","St. Peter's Hospital Detox MSW OP","53157","Albany","315 S Manning Blvd","Albany","NY","12208","1707","Mr. Steve Boulet","steve.boulet@sphp.com","5185251053","","Crisis","Med Sup Withdrawal-Outpatient","","","","","","",""
"St. Peter's Hospital City of Albany","83060","3 Mercycare Ln","Guilderland","Albany","NY","12084","3504","St. Peter's Hospital MMD","50227","Albany","315 S Manning Blvd","Albany","NY","12208","1707","Mr. Steve Boulet","steve.boulet@sphp.com","5185251053","","Crisis","Medical Managed Detoxification","5185251303","","","","","",""
"St. Peter's Hospital City of Albany","83060","3 Mercycare Ln","Guilderland","Albany","NY","12084","3504","St. Peter's Hospital OP 1","51920","Albany","64 2nd Ave","Albany","NY","12202","1240","Mr. Stephen M Lape","stephen.lape@sphp.com","5184495170","","Outpatient","Outpatient Clinic","5184495170","109","","","","",""
"St. Peter's Hospital City of Albany","83060","3 Mercycare Ln","Guilderland","Albany","NY","12084","3504","St. Peter's Hospital OP R","50233","Albany","64 2nd Ave","Albany","NY","12202","1240","Mr. Stephen M Lape","stephen.lape@sphp.com","5184495170","","Outpatient","Outpatient Rehabilitation","5184495170","109","","","","",""
"Trinity Alliance of the Capital Region","24440","15 Trinity Place","Albany","Albany","NY","12202","","Trinity Alliance Capital Region RRi","53244","Albany","76-82 2nd St","Albany","NY","12210","2517","Mrs. Grace Smythe-Young","g.smythe-young@ta-cr.org","5184361104","","Residential","820 Residential Reintegration","","","","","","",""
"Whitney M Young Jr Health Center, Inc.","35200","920 Lark Dr","Albany","Albany","NY","12207","","F.A.C.T.S. OP","50855","Albany","10 DeWitt St","Albany","NY","12207","2423","Ms. Janice Prichett","jprichett@wmyhealth.org","5184659345","","Outpatient","Outpatient Clinic","5184659345","","","","","",""
"Whitney M Young Jr Health Center, Inc.","35200","920 Lark Dr","Albany","Albany","NY","12207","","Whitney M Young Jr Health Ctr OTP","1631","Albany","10 DeWitt St","Albany","NY","12207","2423","Megan Zacher CSW","mzacher@wmyhealth.org","5185914894","",Opioid Treatment Program,"Opioid Outpatient Treatment","","","","","","",""
"Whitney M Young Jr Health Center, Inc.","35200","920 Lark Dr","Albany","Albany","NY","12207","","Whitney M. Young Jr Health Ctr OMM","53011","Albany","10 DeWitt St","Albany","NY","12207","2423","Megan Zacher CSW","mzacher@wmyhealth.org","5184654771","",Opioid Treatment Program,"Medical Maintenance","","","","","","",""
"Allegany Council on Alcsm & Subs Abuse","38110","3084 Trapping Brook Rd","Wellsville","Allegany","NY","14895","9445","Allegany Council on Alcsm & SA OP","50177","Allegany","2956 Airway Rd","Wellsville","NY","14895","9329","Mr. Chad Sebastian CASAC","csebastian@alleganycouncil.org","5855936738","130","Outpatient","Outpatient Clinic","5855931920","722","Allegany Council on Alcoholism","40 West Main Street","Cuba","14727","Allegany"
"Allegany Council on Alcsm & Subs Abuse","38110","3084 Trapping Brook Rd","Wellsville","Allegany","NY","14895","9445","Trapping Brook House CR","50178","Allegany","3084 Trapping Brook Rd","Wellsville","NY","14895","9445","Mr. Chad Sebastian CASAC","csebastian@alleganycouncil.org","5855936738","130","Residential","Community Residential","5855931920","702","","","","",""
"Allegany Council on Alcsm & Subs Abuse","38110","3084 Trapping Brook Rd","Wellsville","Allegany","NY","14895","9445","Trapping Brook SL","51068","Allegany","3084 Trapping Brook Rd","Wellsville","NY","14895","9445","Mr. Chad Sebastian CASAC","csebastian@alleganycouncil.org","5855936738","130","Residential","Supportive Living","5855931920","703","","","","",""
"Argus Community, Inc.","10160","East 160th Street","Bronx","Bronx","NY","10456","7815","Argus Community, Inc. IR","4200","Bronx","760 E 160th St","Bronx","NY","10456","7815","Ms. Yolanda Celestine","ycelestine@arguscommunity.org","7184015414","","Residential","Intensive Residential","","","","","","",""
"Argus Community, Inc.","10160","East 160th Street","Bronx","Bronx","NY","10456","7815","Harbor House IR","5960","Bronx","402 E 156th St","Bronx","NY","10455","1232","Eric Gottlieb","egottlieb@arguscommunity.org","6462247157","","Residential","Intensive Residential","","","","","","",""
"Argus Community, Inc.","10160","East 160th Street","Bronx","Bronx","NY","10456","7815","The Elizabeth L. Sturz Outpatient Ctr","227","Bronx","760 E 160th St.","Bronx","NY","10456","7815","Ms. Tuesday Allen","tallen@arguscommunity.org","7183223455","","Outpatient","Outpatient Clinic","7183223455","","Argus Community, Inc.","226 East 144th Street","Bronx","10451","Bronx"
"Arms Acres, Inc.","32412","75 Seminary Hill Rd","Carmel","Putnam","NY","10512","1921","Arms Acres, Inc. OP 2","52100","Bronx","3584 Jerome Ave","Bronx","NY","10467","1006","Ms. Thais Mitchell","tmitchell@libertymgt.com","7186531537","","Outpatient","Outpatient Clinic","","","","","","",""
"BASICS, Bronx Addiction Services","1857","1064 Franklin Ave","Bronx","Bronx","NY","10456","6704","Franklin House SRR","53297","Bronx","1064 Franklin Ave","Bronx","NY","10456","6704","Jordania Estrella","jestrella@acacianetwork.org","7189607517","","Residential","820 Stabil Rehab Reintegration","","","","","","",""
"Bronx Addiction Treatment Center","90008","1500 Waters Pl","Bronx","Bronx","NY","10461","2723","Bronx ATC IP","50740","Bronx","1500 Waters Pl","Bronx","NY","10461","2723","Mrs. Priscilla M Rivera LCSW","Priscilla.Rivera@oasas.ny.gov","7189040026","326","Inpatient","Inpatient Rehabilitation","7189040026","","","","","",""
"BronxCare Health System","85190","1276 Fulton Ave","Bronx","Bronx","NY","10456","3402","BronxCare Addictions Detox Prog MSW-IP","52763","Bronx","1285 Fulton Ave","Bronx","NY","10456","3401","Mr. Floyd Campbell","fcampbel@bronxleb.org","7189018780","","Crisis","Med Sup Withdrawal - Inpatient","7189018780","","","","","",""
"BronxCare Health System","85190","1276 Fulton Ave","Bronx","Bronx","NY","10456","3402","BronxCare Addictions Rehab Prog IP","51116","Bronx","1285 Fulton Ave","Bronx","NY","10456","3401","Mr. Floyd Campbell","fcampbel@bronxleb.org","7189018780","","Inpatient","Inpatient Rehabilitation","7185183736","","","","","",""
"BronxCare Health System","85190","1276 Fulton Ave","Bronx","Bronx","NY","10456","3402","BronxCare Chemical Dependence OP","52764","Bronx","1285 Fulton Ave","Bronx","NY","10456","3401","Ms. Demetria Nelson","denelson@bronxleb.org","7185183736","","Outpatient","Outpatient Clinic","7185183737","","","","","",""
