PROGRAM_NAME,facdomain,facgroup,facsubgrp,factype
"ADDRESSING HEALTH DISPARITIES IMPACTING LESBIAN, GAY, BISEXUAL AND TRANSGENDER POPULATIONS",Health and Human Services,Health Care,Health Promotion and Disease Prevention,
ADVOCACY SERVICES,Health and Human Services,Health Care,Health Promotion and Disease Prevention,
AFFIRMATIVE BUSINESS/INDUSTRY,Health and Human Services,Human Services,Mental Health,Drop In
ASSERTIVE COMMUNITY TREATMENT,Health and Human Services,Human Services,Mental Health,Community Center
ASSISTED COMPETITIVE EMPLOYMENT,Health and Human Services,Human Services,Workforce Development,
ASTHMA COUNSELOR PROGRAM (EAST HARLEM),Health and Human Services,Health Care,Health Promotion and Disease Prevention,
CASE MANAGEMENT,Health and Human Services,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
CHECK HEP B [574],Health and Human Services,Health Care,Hospitals and Clinics,Diagnostic and Treatment Center
CHECK HEP C [574],Health and Human Services,Health Care,Hospitals and Clinics,Diagnostic and Treatment Center
CHLAMYDIA SCREENING PROGRAM,Health and Human Services,Health Care,Hospitals and Clinics,Diagnostic and Treatment Center
CITY COUNCIL INITIATIVES [574],Health and Human Services,Health Care,Other Health Care,Community Center
CLINIC TREATMENT,Health and Human Services,Health Care,Hospitals and Clinics,Diagnostic and Treatment Center
COMMUNITY MOBILIZATION INTERVENTIONS FOR HIV PREVENTION,Health and Human Services,Health Care,Health Promotion and Disease Prevention,
COMMUNITY RESIDENTIAL,Health and Human Services,Health Care,Hospitals and Clinics,Health Facility
COMMUNITY-LEVEL INTERVENTIONS FOR HIV PREVENTION,Health and Human Services,Health Care,Health Promotion and Disease Prevention,
COMPULSIVE GAMBLING EDUCATION,Health and Human Services,Health Care,Health Promotion and Disease Prevention,
COMPULSIVE GAMBLING TREATMENT,Health and Human Services,Health Care,Health Promotion and Disease Prevention,Diagnostic and Treatment Center
CONDOM DISTRIBUTION SERVICES,Health and Human Services,Health Care,Health Promotion and Disease Prevention,
COORDINATED CHILDREN'S SERVICES INITIATIVE,Health and Human Services,Health Care,Mental Health,Support Mental Health
COUNCIL LINKAGE PROGRAMS,Health and Human Services,Health Care,Hospitals and Clinics,Health Facility
CPEP CRISIS INTERVENTION,Health and Human Services,Health Care,Mental Health,Support Mental Health
CPEP CRISIS OUTREACH,Health and Human Services,Health Care,Mental Health,Crisis Sevices Mental Health
CRISIS INTERVENTION,Health and Human Services,Health Care,Mental Health,Crisis Sevices Mental Health
CRISIS/RESPITE BEDS,Health and Human Services,Health Care,Mental Health,Crisis Sevices Mental Health
CRYSTAL METHAMPHETAMINE HARM REDUCTION SERVICES,Health and Human Services,Health Care,Chemical Dependency,
CUSTOMIZED ASSISTANCE SERVICES (CAS),Health and Human Services,Human Services,Legal and Intervention Services,Legal Services Initiatives
"DEMONSTRATION PROJECTS FOR INNOVATIVE, HIGH-IMPACT HIV PREVENTION INTERVENTIONS AND STRATEGIES",Health and Human Services,Health Care,Health Promotion and Disease Prevention,
DROP-IN CENTERS,Health and Human Services,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
EARLY INTERVENTION RESPITE CARE - DEVELOPMENTAL DISABILITIES,Health and Human Services,Health Care,Other Health Care,Programs for People with Disabilities
EARLY INTERVENTION SERVICES (EIS),Health and Human Services,Health Care,Other Health Care,Health Facility
EARLY INTERVENTION SERVICES: PRIORITY POPULATIONS TESTING IN NON-CLINICAL SETTINGS,Health and Human Services,Health Care,Health Promotion and Disease Prevention,
EARLY INTERVENTION SERVICES: ROUTINE IN CLINICAL SETTINGS,Health and Human Services,Health Care,Hospitals and Clinics,Diagnostic and Treatment Center
EARLY INTERVENTION SERVICES: ROUTINE TESTING IN CLINICAL SETTINGS,Health and Human Services,Health Care,Hospitals and Clinics,Diagnostic and Treatment Center
EARLY INTERVENTION SERVICES: SOCIAL NETWORK STRATEGY TESTING IN NON-CLINICAL SETTINGS,Health and Human Services,Health Care,Health Promotion and Disease Prevention,Support Mental Health
EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Early Learn NYC: New York City's Early Care and Education Services
EPILEPSY SERVICES,Health and Human Services,Health Care,Other Health Care,Workforce Development
